assistant_id	canonical_actor	methods	lexicons	dispatch_override	notes
agent_runtime_lease_autopilot	agent_runtime_lease_autopilot	1	autopilotTick.json	pymagatama.primitives.agent_economy|task_agent_runtime_{snake}	ok
animeka_autopilot	animeka_autopilot	8	generateSceneText.json,generateStoryboard.json,generateStoryboardRetry.json,generateLayout.json,generateKeyframe.json,generateBackground.json,composePost.json,emitAudit.json	pymagatama.zeebe_worker_main|__TODO_review_task_generic_llm_chat__	ok
aria_attention_ingest	aria	1	attentionIngest.json	pymagatama.primitives.aria_signal|task_aria_{snake}	ok
aria_emotion_ingest	aria	1	emotionIngest.json	pymagatama.primitives.aria_signal|task_aria_{snake}	ok
aria_influence_ingest	aria	1	influenceIngest.json	pymagatama.primitives.aria_signal|task_aria_{snake}	ok
aria_market_ingest	aria	1	marketIngest.json	pymagatama.primitives.aria_signal|__TODO_review_task_aria_market_delta_ingest__	ok
aria_minimax_sweep	aria	1	minimaxSweep.json	pymagatama.primitives.aria_signal|task_aria_{snake}	ok
aria_money_flow_ingest	aria	1	moneyFlowIngest.json	pymagatama.primitives.aria_signal|task_aria_{snake}	ok
aria_request_ingest	aria	1	requestIngest.json	pymagatama.primitives.aria_signal|task_aria_{snake}	ok
copyright_fulltext	copyright_fulltext	4	queryOaWorks.json,fetchFulltext.json,storeBlobs.json,emitAudit.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
copyright_ingest	copyright_ingest	5	fetchCrossref.json,insertCrossref.json,fetchDatacite.json,insertDatacite.json,emitAudit.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
coverage_gap_bridge	coverage_gap_bridge	5	statsSync.json,scan.json,ingest.json,infer.json,generate.json	pymagatama.primitives.coverage_gap|task_coverage_gap_{snake}	ok
echo	echo	1	echo.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
isbn_ingest_aozora	isbn	1	ingestAozora.json	pymagatama.primitives.isbn|__TODO_review_task_isbn_aozora_ingest__	ok
isbn_ingest_gutenberg	isbn	1	ingestGutenberg.json	pymagatama.primitives.isbn|__TODO_review_task_isbn_gutenberg_ingest__	ok
isbn_ingest_hathitrust	isbn	1	ingestHathitrust.json	pymagatama.primitives.isbn|__TODO_review_task_isbn_hathitrust_ingest__	ok
isbn_ingest_internet_archive	isbn	1	ingestInternetArchive.json	pymagatama.primitives.isbn|__TODO_review_task_isbn_internet_archive_ingest__	ok
isbn_ingest_ndl	isbn	1	ingestNdl.json	pymagatama.primitives.isbn|__TODO_review_task_isbn_ndl_ingest__	ok
isbn_ingest_open_library	isbn	1	ingestOpenLibrary.json	pymagatama.primitives.isbn|__TODO_review_task_isbn_open_library_ingest__	ok
onion_crawl_seeds	onion_crawl_seeds	2	queueSeeds.json,processQueue.json	pymagatama.primitives.onion_crawl|task_{snake}	ok
os_messaging_crawl_open_channels	os_messaging_crawl_open_channels	2	queueSeedRuns.json,processQueue.json	pymagatama.primitives.os_messaging_open_channels|task_{snake}	ok
patent_ingest_uspto_weekly	patent_ingest_uspto_weekly	2	ingestPatent.json,ingestCitation.json	pymagatama.primitives.patent_ingest|task_patent_uspto_patentsview_{snake}	ok
public_malak_crawl_ads	public_malak_crawl_ads	2	queueSeedRuns.json,processQueue.json	pymagatama.primitives.public_malak_ads|task_{snake}	ok
shinka_cron_tick	shinka_cron_tick	1	shinkaTick.json	pymagatama.zeebe_worker_main|task_{snake}	ok
shinshi_seed_gap_fill	shinshi_seed_gap_fill	3	findIncomplete.json,bulkSeed.json,emitAudit.json	pymagatama.primitives.shinshi_image|task_shinshi_coverage_{snake}	ok
shosha_agent_loop	shosha	3	fetchContext.json,callLlm.json,emitAudit.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
shosha_daily_report	shosha	2	composeReport.json,emitAudit.json	pymagatama.primitives.shosha|__TODO_review_task_shosha_daily_report_compose__	ok
shosha_market_intelligence	shosha	4	ingestPrices.json,ingestFreight.json,synthMarketViews.json,emitAudit.json	pymagatama.primitives.shosha|task_shosha_intel_{snake}	ok
shosha_react_upstream	shosha	2	scanUpstream.json,emitAudit.json	pymagatama.primitives.shosha|task_shosha_reactive_{snake}	ok
shosha_refresh_sanctions_list	shosha	2	refreshOfac.json,refreshUn.json	pymagatama.primitives.shosha|task_shosha_sanctions_{snake}	ok
shosha_trade_book_recompute	shosha	3	recomputeExposure.json,recomputePnl.json,emitAudit.json	pymagatama.primitives.shosha|__TODO_review_task_shosha_exposure_recompute__	ok
shosha_trade_idea_synthesize	shosha	2	synthIdeas.json,emitAudit.json	pymagatama.primitives.shosha|__TODO_review_task_shosha_trade_synth__	ok
tsukuru_isic_pulse	tsukuru_isic_pulse	2	selectManufacturers.json,emitAudit.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
webmk_create_proposal	webmk_create_proposal	6	researchCompany.json,analyzeCompetitors.json,generateStrategy.json,generateCopy.json,qualityGate.json,storeProposal.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
wellbecoming_belief_influence_propagate	wellbecoming	1	influencePropagate.json	pymagatama.primitives.wellbecoming_influence|task_belief_{snake}	ok
wellbecoming_belief_noise_inject	wellbecoming	1	noiseInject.json	pymagatama.primitives.wellbecoming_noise|task_belief_{snake}	ok
wellbecoming_belief_restoring_capture	wellbecoming	1	restoringCapture.json	pymagatama.primitives.wellbecoming_restoring|task_belief_{snake}	ok
wellbecoming_detect_bottleneck	wellbecoming	1	detectBottleneck.json	pymagatama.primitives.wellbecoming_agent|__TODO_review_task_wellbecoming_bottleneck_detect__	ok
wellbecoming_floor_violation_alert	wellbecoming	2	floorCheck.json,floorAlert.json	pymagatama.primitives.wellbecoming_agent|task_wellbecoming_{snake}	ok
wellbecoming_minimax_sweep	wellbecoming	1	minimaxSweep.json	pymagatama.primitives.wellbecoming_agent|task_wellbecoming_{snake}	ok
wellbecoming_proactive_connect	wellbecoming	1	proactiveConnect.json	pymagatama.primitives.wellbecoming_agent|task_wellbecoming_{snake}	ok
wellbecoming_process_mining	wellbecoming	1	processMining.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
wellbecoming_trust_weight_update	wellbecoming	1	trustWeightUpdate.json	pymagatama.primitives.wellbecoming_trust|task_{snake}	ok
yoro_platform_pulse	yoro_platform_pulse	1	platformPulse.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
yoro_product_ingest	yoro_product_ingest	5	seed.json,fanout.json,writeOffers.json,writeResearch.json,emitAudit.json	NO_TASK_IMPORT	no task import detected — operator must wire manually
